noise_model,mean_success,mean_error_rate,overall_degradation
phase_flip,0.5796683333333333,0.42033166666666666,42.033166666666666
bit_flip,0.5974658333333333,0.40253416666666675,40.25341666666667
depolarizing,0.606945,0.39305500000000004,39.3055
readout,0.916605,0.083395,8.3395
thermal,0.982195,0.01780499999999996,1.780499999999996
