qubits,depth,noise_model,noise_probability,mean_success,std_success,mean_fidelity,std_fidelity,mean_error_rate
2,1,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,1,bit_flip,0.001,0.9955999999999999,0.001341640786499893,0.9955999999999999,0.001341640786499893,0.0044000000000000705
2,1,bit_flip,0.002,0.991,0.0028284271247462074,0.991,0.0028284271247462074,0.009000000000000008
2,1,bit_flip,0.005,0.9772000000000001,0.003271085446759244,0.9772000000000001,0.003271085446759244,0.02279999999999993
2,1,bit_flip,0.01,0.9576,0.0027018512172212383,0.9575999999999999,0.0027018512172213086,0.04239999999999999
2,1,bit_flip,0.02,0.9214,0.0025099800796022287,0.9214,0.0025099800796022287,0.0786
2,1,bit_flip,0.05,0.8192,0.00960208310732621,0.8192,0.009602083107326161,0.18079999999999996
2,1,bit_flip,0.1,0.6654,0.014758048651498606,0.6654000000000001,0.014758048651498639,0.3346
2,1,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0
2,1,depolarizing,0.001,0.9952,0.0013038404810405326,0.9952,0.0013038404810405326,0.0048000000000000265
2,1,depolarizing,0.002,0.9868,0.003701351104664382,0.9868,0.003701351104664382,0.01319999999999999
2,1,depolarizing,0.005,0.9686,0.0015165750888103265,0.9686,0.0015165750888103265,0.031399999999999983
2,1,depolarizing,0.01,0.9453999999999999,0.004929503017546479,0.9453999999999999,0.00492950301754646,0.05460000000000009
2,1,depolarizing,0.02,0.8960000000000001,0.005338539126015658,0.8959999999999999,0.005338539126015653,0.10399999999999987
2,1,depolarizing,0.05,0.7664,0.014638989036132248,0.7664,0.014638989036132238,0.23360000000000003
2,1,depolarizing,0.1,0.5958,0.01430734077318353,0.5958,0.01430734077318353,0.4042
2,1,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,1,phase_flip,0.001,0.991,0.0028284271247462074,0.991,0.0028284271247462074,0.009000000000000008
2,1,phase_flip,0.002,0.9810000000000001,0.003937003937005888,0.9810000000000001,0.003937003937005888,0.018999999999999906
2,1,phase_flip,0.005,0.9576,0.0027018512172212383,0.9575999999999999,0.0027018512172213086,0.04239999999999999
2,1,phase_flip,0.01,0.9222000000000001,0.001923538406167145,0.9222000000000001,0.001923538406167145,0.07779999999999987
2,1,phase_flip,0.02,0.8550000000000001,0.007905694150420937,0.8549999999999999,0.007905694150420925,0.1449999999999999
2,1,phase_flip,0.05,0.6776,0.013649175799292791,0.6776000000000001,0.013649175799292741,0.3224
2,1,phase_flip,0.1,0.4732,0.01047377677822092,0.47319999999999995,0.010473776778220931,0.5267999999999999
2,1,readout,0.0,1.0,0.0,1.0,0.0,0.0
2,1,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797
2,1,readout,0.002,0.9964000000000001,0.002073644135332786,0.9964000000000001,0.002073644135332786,0.0035999999999999366
2,1,readout,0.005,0.99,0.0025495097567963944,0.99,0.0025495097567963944,0.010000000000000009
2,1,readout,0.01,0.9804,0.007266360849833971,0.9804,0.007266360849833971,0.01959999999999995
