qubits,depth,noise_model,gate_count,noise_probability,shots,seed,success_probability,error_rate,fidelity,counts,repetition
2,2,bit_flip,16,0.001,1000,4,0.992,0.008000000000000007,0.992,"{'00': 992, '10': 2, '01': 3, '11': 3}",4
2,2,bit_flip,16,0.002,1000,0,0.978,0.02200000000000002,0.9779999999999999,"{'00': 978, '01': 10, '11': 12}",0
2,2,bit_flip,16,0.002,1000,1,0.972,0.028000000000000025,0.972,"{'00': 972, '11': 11, '01': 8, '10': 9}",1
2,2,bit_flip,16,0.002,1000,2,0.98,0.020000000000000018,0.9800000000000001,"{'00': 980, '10': 5, '11': 10, '01': 5}",2
2,2,bit_flip,16,0.002,1000,3,0.977,0.02300000000000002,0.9770000000000001,"{'00': 977, '10': 14, '01': 3, '11': 6}",3
2,2,bit_flip,16,0.002,1000,4,0.981,0.019000000000000017,0.9809999999999999,"{'00': 981, '01': 7, '11': 6, '10': 6}",4
2,2,bit_flip,16,0.005,1000,0,0.949,0.051000000000000045,0.949,"{'00': 949, '11': 21, '10': 20, '01': 10}",0
2,2,bit_flip,16,0.005,1000,1,0.945,0.05500000000000005,0.945,"{'00': 945, '01': 18, '10': 10, '11': 27}",1
2,2,bit_flip,16,0.005,1000,2,0.946,0.05400000000000005,0.946,"{'00': 946, '10': 20, '01': 14, '11': 20}",2
2,2,bit_flip,16,0.005,1000,3,0.952,0.04800000000000004,0.9519999999999998,"{'00': 952, '11': 23, '10': 15, '01': 10}",3
2,2,bit_flip,16,0.005,1000,4,0.956,0.04400000000000004,0.9559999999999998,"{'00': 956, '11': 19, '10': 18, '01': 7}",4
2,2,bit_flip,16,0.01,1000,0,0.909,0.09099999999999997,0.909,"{'00': 909, '01': 27, '11': 43, '10': 21}",0
2,2,bit_flip,16,0.01,1000,1,0.905,0.09499999999999997,0.905,"{'00': 905, '11': 43, '01': 24, '10': 28}",1
2,2,bit_flip,16,0.01,1000,2,0.906,0.09399999999999997,0.9059999999999999,"{'01': 24, '00': 906, '10': 29, '11': 41}",2
2,2,bit_flip,16,0.01,1000,3,0.907,0.09299999999999997,0.907,"{'00': 907, '10': 29, '11': 40, '01': 24}",3
2,2,bit_flip,16,0.01,1000,4,0.899,0.10099999999999998,0.899,"{'00': 899, '11': 39, '01': 40, '10': 22}",4
2,2,bit_flip,16,0.02,1000,0,0.83,0.17000000000000004,0.8300000000000001,"{'00': 830, '10': 44, '01': 57, '11': 69}",0
2,2,bit_flip,16,0.02,1000,1,0.836,0.16400000000000003,0.836,"{'00': 836, '11': 74, '10': 50, '01': 40}",1
2,2,bit_flip,16,0.02,1000,2,0.814,0.18600000000000005,0.8139999999999998,"{'10': 49, '00': 814, '11': 73, '01': 64}",2
2,2,bit_flip,16,0.02,1000,3,0.825,0.17500000000000004,0.825,"{'00': 825, '01': 52, '11': 72, '10': 51}",3
2,2,bit_flip,16,0.02,1000,4,0.814,0.18600000000000005,0.8139999999999998,"{'00': 814, '10': 70, '01': 51, '11': 65}",4
2,2,bit_flip,16,0.05,1000,0,0.621,0.379,0.621,"{'01': 120, '11': 128, '00': 621, '10': 131}",0
2,2,bit_flip,16,0.05,1000,1,0.629,0.371,0.6290000000000001,"{'00': 629, '10': 104, '01': 126, '11': 141}",1
2,2,bit_flip,16,0.05,1000,2,0.632,0.368,0.6320000000000001,"{'11': 146, '00': 632, '01': 102, '10': 120}",2
2,2,bit_flip,16,0.05,1000,3,0.629,0.371,0.6290000000000001,"{'00': 629, '01': 128, '11': 145, '10': 98}",3
2,2,bit_flip,16,0.05,1000,4,0.598,0.402,0.598,"{'00': 598, '10': 137, '11': 148, '01': 117}",4
2,2,bit_flip,16,0.1,1000,0,0.392,0.608,0.392,"{'10': 194, '11': 202, '01': 212, '00': 392}",0
2,2,bit_flip,16,0.1,1000,1,0.38,0.62,0.38,"{'00': 380, '10': 201, '01': 228, '11': 191}",1
2,2,bit_flip,16,0.1,1000,2,0.422,0.5780000000000001,0.42200000000000004,"{'11': 212, '01': 194, '10': 172, '00': 422}",2
2,2,bit_flip,16,0.1,1000,3,0.406,0.594,0.406,"{'01': 205, '00': 406, '10': 181, '11': 208}",3
2,2,bit_flip,16,0.1,1000,4,0.413,0.587,0.413,"{'00': 413, '10': 199, '11': 220, '01': 168}",4
2,4,bit_flip,28,0.0,1000,0,1.0,0.0,1.0,{'00': 1000},0
2,4,bit_flip,28,0.0,1000,1,1.0,0.0,1.0,{'00': 1000},1
2,4,bit_flip,28,0.0,1000,2,1.0,0.0,1.0,{'00': 1000},2
2,4,bit_flip,28,0.0,1000,3,1.0,0.0,1.0,{'00': 1000},3
2,4,bit_flip,28,0.0,1000,4,1.0,0.0,1.0,{'00': 1000},4
2,4,bit_flip,28,0.001,1000,0,0.981,0.019000000000000017,0.9809999999999999,"{'00': 981, '01': 7, '10': 5, '11': 7}",0
2,4,bit_flip,28,0.001,1000,1,0.975,0.025000000000000022,0.975,"{'00': 975, '11': 5, '10': 14, '01': 6}",1
2,4,bit_flip,28,0.001,1000,2,0.983,0.017000000000000015,0.983,"{'00': 983, '10': 6, '11': 6, '01': 5}",2
2,4,bit_flip,28,0.001,1000,3,0.977,0.02300000000000002,0.9770000000000001,"{'00': 977, '01': 10, '11': 4, '10': 9}",3
2,4,bit_flip,28,0.001,1000,4,0.982,0.018000000000000016,0.9820000000000001,"{'00': 982, '01': 9, '10': 5, '11': 4}",4
2,4,bit_flip,28,0.002,1000,0,0.958,0.04200000000000004,0.9580000000000001,"{'00': 958, '10': 16, '11': 12, '01': 14}",0
2,4,bit_flip,28,0.002,1000,1,0.959,0.041000000000000036,0.9590000000000001,"{'00': 959, '01': 10, '10': 12, '11': 19}",1
2,4,bit_flip,28,0.002,1000,2,0.959,0.041000000000000036,0.9590000000000001,"{'00': 959, '01': 18, '11': 14, '10': 9}",2
2,4,bit_flip,28,0.002,1000,3,0.962,0.038000000000000034,0.9620000000000001,"{'00': 962, '11': 17, '10': 7, '01': 14}",3
2,4,bit_flip,28,0.002,1000,4,0.963,0.03700000000000003,0.9629999999999999,"{'00': 963, '10': 13, '01': 14, '11': 10}",4
2,4,bit_flip,28,0.005,1000,0,0.918,0.08199999999999996,0.918,"{'00': 918, '11': 36, '10': 21, '01': 25}",0
2,4,bit_flip,28,0.005,1000,1,0.914,0.08599999999999997,0.9139999999999999,"{'00': 914, '10': 27, '01': 26, '11': 33}",1
2,4,bit_flip,28,0.005,1000,2,0.913,0.08699999999999997,0.9129999999999999,"{'01': 30, '00': 913, '10': 26, '11': 31}",2
2,4,bit_flip,28,0.005,1000,3,0.915,0.08499999999999996,0.9150000000000001,"{'00': 915, '01': 34, '11': 31, '10': 20}",3
2,4,bit_flip,28,0.005,1000,4,0.913,0.08699999999999997,0.9129999999999999,"{'00': 913, '11': 34, '01': 39, '10': 14}",4
2,4,bit_flip,28,0.01,1000,0,0.85,0.15000000000000002,0.8500000000000001,"{'00': 850, '10': 42, '01': 51, '11': 57}",0
2,4,bit_flip,28,0.01,1000,1,0.85,0.15000000000000002,0.8500000000000001,"{'00': 850, '11': 60, '10': 40, '01': 50}",1
2,4,bit_flip,28,0.01,1000,2,0.833,0.16700000000000004,0.833,"{'10': 41, '00': 833, '11': 58, '01': 68}",2
2,4,bit_flip,28,0.01,1000,3,0.845,0.15500000000000003,0.845,"{'00': 845, '01': 60, '10': 44, '11': 51}",3
2,4,bit_flip,28,0.01,1000,4,0.83,0.17000000000000004,0.8300000000000001,"{'00': 830, '10': 61, '01': 61, '11': 48}",4
2,4,bit_flip,28,0.02,1000,0,0.713,0.28700000000000003,0.713,"{'01': 113, '11': 92, '00': 713, '10': 82}",0
2,4,bit_flip,28,0.02,1000,1,0.726,0.274,0.726,"{'00': 726, '01': 108, '11': 99, '10': 67}",1
2,4,bit_flip,28,0.02,1000,2,0.703,0.29700000000000004,0.703,"{'11': 95, '00': 703, '10': 92, '01': 110}",2
2,4,bit_flip,28,0.02,1000,3,0.712,0.28800000000000003,0.712,"{'00': 712, '01': 108, '10': 86, '11': 94}",3
2,4,bit_flip,28,0.02,1000,4,0.692,0.30800000000000005,0.692,"{'00': 692, '01': 119, '10': 84, '11': 105}",4
2,4,bit_flip,28,0.05,1000,0,0.449,0.5509999999999999,0.44899999999999995,"{'10': 174, '11': 170, '01': 207, '00': 449}",0
2,4,bit_flip,28,0.05,1000,1,0.424,0.5760000000000001,0.42399999999999993,"{'00': 424, '10': 170, '01': 242, '11': 164}",1
2,4,bit_flip,28,0.05,1000,2,0.47,0.53,0.47000000000000003,"{'11': 186, '01': 186, '10': 158, '00': 470}",2
2,4,bit_flip,28,0.05,1000,3,0.454,0.546,0.45400000000000007,"{'01': 210, '00': 454, '10': 161, '11': 175}",3
2,4,bit_flip,28,0.05,1000,4,0.452,0.548,0.45199999999999996,"{'00': 452, '10': 186, '11': 186, '01': 176}",4
2,4,bit_flip,28,0.1,1000,0,0.277,0.723,0.277,"{'10': 235, '11': 232, '01': 256, '00': 277}",0
2,4,bit_flip,28,0.1,1000,1,0.277,0.723,0.277,"{'01': 265, '00': 277, '11': 213, '10': 245}",1
2,4,bit_flip,28,0.1,1000,2,0.291,0.7090000000000001,0.29100000000000004,"{'11': 232, '10': 215, '00': 291, '01': 262}",2
2,4,bit_flip,28,0.1,1000,3,0.289,0.7110000000000001,0.2889999999999999,"{'10': 229, '01': 256, '00': 289, '11': 226}",3
2,4,bit_flip,28,0.1,1000,4,0.3,0.7,0.29999999999999993,"{'00': 300, '01': 221, '10': 227, '11': 252}",4
