qubits,depth,noise_model,noise_probability,mean_success,std_success,mean_fidelity,std_fidelity,mean_error_rate,success_ci,success_ci_lower,success_ci_upper
2,1,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,bit_flip,0.001,0.9955999999999999,0.001341640786499893,0.9955999999999999,0.001341640786499893,0.0044000000000000705,0.0016656000000000236,0.9939343999999999,0.9972656
2,1,bit_flip,0.002,0.991,0.0028284271247462074,0.991,0.0028284271247462074,0.009000000000000008,0.0035113931138509896,0.987488606886149,0.994511393113851
2,1,bit_flip,0.005,0.9772000000000001,0.003271085446759244,0.9772000000000001,0.003271085446759244,0.02279999999999993,0.004060937901519819,0.9731390620984802,0.9812609379015199
2,1,bit_flip,0.01,0.9576,0.0027018512172212383,0.9575999999999999,0.0027018512172213086,0.04239999999999999,0.003354253562269827,0.9542457464377302,0.9609542535622698
2,1,bit_flip,0.02,0.9214,0.0025099800796022287,0.9214,0.0025099800796022287,0.0786,0.0031160522717053403,0.9182839477282947,0.9245160522717053
2,1,bit_flip,0.05,0.8192,0.00960208310732621,0.8192,0.009602083107326161,0.18079999999999996,0.011920649539349732,0.8072793504606504,0.8311206495393497
2,1,bit_flip,0.1,0.6654,0.014758048651498606,0.6654000000000001,0.014758048651498639,0.3346,0.01832159999999999,0.6470784,0.6837215999999999
2,1,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,depolarizing,0.001,0.9952,0.0013038404810405326,0.9952,0.0013038404810405326,0.0048000000000000265,0.0016186722460090589,0.9935813277539909,0.9968186722460091
2,1,depolarizing,0.002,0.9868,0.003701351104664382,0.9868,0.003701351104664382,0.01319999999999999,0.004595097631171764,0.9822049023688283,0.9913950976311717
2,1,depolarizing,0.005,0.9686,0.0015165750888103265,0.9686,0.0015165750888103265,0.031399999999999983,0.0018827748033155944,0.9667172251966845,0.9704827748033156
2,1,depolarizing,0.01,0.9453999999999999,0.004929503017546479,0.9453999999999999,0.00492950301754646,0.05460000000000009,0.006119805173369471,0.9392801948266304,0.9515198051733694
2,1,depolarizing,0.02,0.8960000000000001,0.005338539126015658,0.8959999999999999,0.005338539126015653,0.10399999999999987,0.0066276091616811585,0.889372390838319,0.9026276091616813
2,1,depolarizing,0.05,0.7664,0.014638989036132248,0.7664,0.014638989036132238,0.23360000000000003,0.018173791661620867,0.748226208338379,0.7845737916616209
2,1,depolarizing,0.1,0.5958,0.01430734077318353,0.5958,0.01430734077318353,0.4042,0.017762061970390704,0.5780379380296093,0.6135620619703906
2,1,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,phase_flip,0.001,0.991,0.0028284271247462074,0.991,0.0028284271247462074,0.009000000000000008,0.0035113931138509896,0.987488606886149,0.994511393113851
2,1,phase_flip,0.002,0.9810000000000001,0.003937003937005888,0.9810000000000001,0.003937003937005888,0.018999999999999906,0.004887652360796519,0.9761123476392036,0.9858876523607966
2,1,phase_flip,0.005,0.9576,0.0027018512172212383,0.9575999999999999,0.0027018512172213086,0.04239999999999999,0.003354253562269827,0.9542457464377302,0.9609542535622698
2,1,phase_flip,0.01,0.9222000000000001,0.001923538406167145,0.9222000000000001,0.001923538406167145,0.07779999999999987,0.002388005494131046,0.919811994505869,0.9245880054941312
2,1,phase_flip,0.02,0.8550000000000001,0.007905694150420937,0.8549999999999999,0.007905694150420925,0.1449999999999999,0.009814642122869265,0.8451853578771308,0.8648146421228694
2,1,phase_flip,0.05,0.6776,0.013649175799292791,0.6776000000000001,0.013649175799292741,0.3224,0.016944973229840166,0.6606550267701599,0.6945449732298401
2,1,phase_flip,0.1,0.4732,0.01047377677822092,0.47319999999999995,0.010473776778220931,0.5267999999999999,0.013002826671151149,0.46019717332884885,0.48620282667115117
2,1,readout,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797,0.0016186722460090448,0.9961813277539909,0.9994186722460091
2,1,readout,0.002,0.9964000000000001,0.002073644135332786,0.9964000000000001,0.002073644135332786,0.0035999999999999366,0.0025743564943496245,0.9938256435056504,0.9989743564943497
2,1,readout,0.005,0.99,0.0025495097567963944,0.99,0.0025495097567963944,0.010000000000000009,0.0031651269800752092,0.9868348730199248,0.9931651269800752
2,1,readout,0.01,0.9804,0.007266360849833971,0.9804,0.007266360849833971,0.01959999999999995,0.009020932244507758,0.9713790677554923,0.9894209322445078
2,1,readout,0.02,0.9640000000000001,0.005244044240850744,0.9640000000000001,0.005244044240850744,0.03599999999999992,0.0065102970746349015,0.9574897029253652,0.970510297074635
2,1,readout,0.05,0.9024000000000001,0.0068044103344816155,0.9024000000000001,0.006804410334481626,0.09759999999999991,0.00844743687517109,0.893952563124829,0.9108474368751712
2,1,readout,0.1,0.806,0.011135528725660036,0.806,0.011135528725659948,0.19399999999999995,0.013824368513606678,0.7921756314863934,0.8198243685136067
2,1,thermal,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,thermal,0.001,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,thermal,0.002,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,1,thermal,0.005,0.9998000000000001,0.0004472135954999242,0.9998000000000001,0.0004472135954999242,0.00019999999999986695,0.000555199999999958,0.9992448000000002,1.0
2,1,thermal,0.01,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595,0.0006799783525966527,0.9989200216474033,1.0
2,1,thermal,0.02,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899,0.001038684090568455,0.9977613159094314,0.9998386840905684
2,1,thermal,0.05,0.9970000000000001,0.001581138830084216,0.9970000000000001,0.001581138830084216,0.0029999999999998916,0.0019629284245738883,0.9950370715754262,0.998962928424574
2,1,thermal,0.1,0.9949999999999999,0.0009999999999999998,0.9949999999999999,0.0009999999999999998,0.0050000000000001155,0.0012414649411078829,0.993758535058892,0.9962414649411078
2,2,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,bit_flip,0.001,0.9890000000000001,0.002449489742783197,0.9890000000000001,0.002449489742783197,0.010999999999999899,0.0030409556392687054,0.9859590443607313,0.9920409556392689
2,2,bit_flip,0.002,0.9776,0.003507135583350022,0.9776,0.003507135583350022,0.022399999999999975,0.004353985870440996,0.973246014129559,0.981953985870441
2,2,bit_flip,0.005,0.9495999999999999,0.004505552130427515,0.9495999999999999,0.004505552130427467,0.05040000000000011,0.005593485010259692,0.9440065149897402,0.9551934850102596
2,2,bit_flip,0.01,0.9052,0.0037682887362833583,0.9052,0.0037682887362833583,0.0948,0.004678198354067518,0.9005218016459325,0.9098781983540675
2,2,bit_flip,0.02,0.8238,0.009757048734120392,0.8238,0.009757048734120418,0.17620000000000002,0.012113033932091517,0.8116869660679085,0.8359130339320915
2,2,bit_flip,0.05,0.6218,0.013917614738165471,0.6218000000000001,0.01391761473816549,0.3782,0.017278230761278806,0.6045217692387213,0.6390782307612788
2,2,bit_flip,0.1,0.40259999999999996,0.016727223320085118,0.40259999999999996,0.016727223320085118,0.5974,0.02076626131396788,0.3818337386860321,0.4233662613139678
2,2,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,depolarizing,0.001,0.99,0.0029154759474226528,0.99,0.0029154759474226528,0.010000000000000009,0.003619461175368513,0.9863805388246315,0.9936194611753685
2,2,depolarizing,0.002,0.9795999999999999,0.0034351128074635276,0.9795999999999999,0.0034351128074635276,0.020400000000000085,0.004264572119216643,0.9753354278807833,0.9838645721192165
2,2,depolarizing,0.005,0.954,0.0033911649915626474,0.954,0.0033911649915626704,0.04600000000000004,0.004210012446537437,0.9497899875534626,0.9582100124465374
2,2,depolarizing,0.01,0.9146000000000001,0.002073644135332779,0.9146000000000001,0.002073644135332779,0.08539999999999992,0.002574356494349616,0.9120256435056505,0.9171743564943496
2,2,depolarizing,0.02,0.8416,0.00950263121456366,0.8416,0.0095026312145637,0.15839999999999999,0.011797183501158204,0.8298028164988418,0.8533971835011582
2,2,depolarizing,0.05,0.6524,0.014690132742763115,0.6523999999999999,0.014690132742763077,0.3476,0.018237284780361396,0.6341627152196386,0.6706372847803613
2,2,depolarizing,0.1,0.4492,0.01657407614318215,0.44919999999999993,0.016574076143182195,0.5508,0.0205761344630132,0.4286238655369868,0.4697761344630132
2,2,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,phase_flip,0.001,0.9890000000000001,0.002449489742783197,0.9890000000000001,0.002449489742783197,0.010999999999999899,0.0030409556392687054,0.9859590443607313,0.9920409556392689
2,2,phase_flip,0.002,0.9776,0.003507135583350022,0.9776,0.003507135583350022,0.022399999999999975,0.004353985870440996,0.973246014129559,0.981953985870441
2,2,phase_flip,0.005,0.9495999999999999,0.004505552130427515,0.9495999999999999,0.004505552130427467,0.05040000000000011,0.005593485010259692,0.9440065149897402,0.9551934850102596
2,2,phase_flip,0.01,0.9052,0.0037682887362833583,0.9052,0.0037682887362833583,0.0948,0.004678198354067518,0.9005218016459325,0.9098781983540675
2,2,phase_flip,0.02,0.8238,0.009757048734120392,0.8238,0.009757048734120418,0.17620000000000002,0.012113033932091517,0.8116869660679085,0.8359130339320915
2,2,phase_flip,0.05,0.6218,0.013917614738165471,0.6218000000000001,0.01391761473816549,0.3782,0.017278230761278806,0.6045217692387213,0.6390782307612788
2,2,phase_flip,0.1,0.40259999999999996,0.016727223320085118,0.40259999999999996,0.016727223320085118,0.5974,0.02076626131396788,0.3818337386860321,0.4233662613139678
2,2,readout,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797,0.0016186722460090448,0.9961813277539909,0.9994186722460091
2,2,readout,0.002,0.9964000000000001,0.002073644135332786,0.9964000000000001,0.002073644135332786,0.0035999999999999366,0.0025743564943496245,0.9938256435056504,0.9989743564943497
2,2,readout,0.005,0.99,0.0025495097567963944,0.99,0.0025495097567963944,0.010000000000000009,0.0031651269800752092,0.9868348730199248,0.9931651269800752
2,2,readout,0.01,0.9804,0.007266360849833971,0.9804,0.007266360849833971,0.01959999999999995,0.009020932244507758,0.9713790677554923,0.9894209322445078
2,2,readout,0.02,0.9640000000000001,0.005244044240850744,0.9640000000000001,0.005244044240850744,0.03599999999999992,0.0065102970746349015,0.9574897029253652,0.970510297074635
2,2,readout,0.05,0.9024000000000001,0.0068044103344816155,0.9024000000000001,0.006804410334481626,0.09759999999999991,0.00844743687517109,0.893952563124829,0.9108474368751712
2,2,readout,0.1,0.806,0.011135528725660036,0.806,0.011135528725659948,0.19399999999999995,0.013824368513606678,0.7921756314863934,0.8198243685136067
2,2,thermal,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,thermal,0.001,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,thermal,0.002,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,2,thermal,0.005,0.9998000000000001,0.0004472135954999242,0.9998000000000001,0.0004472135954999242,0.00019999999999986695,0.000555199999999958,0.9992448000000002,1.0
2,2,thermal,0.01,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595,0.0006799783525966527,0.9989200216474033,1.0
2,2,thermal,0.02,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899,0.001038684090568455,0.9977613159094314,0.9998386840905684
